post,is_stress,stress_kind
"i can't tell wither there real or not. i've recently become impatient,",Yes,Other
I don't normally feel like this and am ashamed to admit I've spent the day mounting my little Una.,Yes,Other
I dunno it's just something I've been kind of upset about lately.,Yes,Other
I feel a bit bad as i ahve been putting off catching up with her for a while.,Yes,Other
I feel bad about not updating...but I have been busy and tired.,Yes,Other
"I feel bad for myself, having to move there.. it's sooo complicated with all of that stuff.",Yes,Other
i feel bad i didn't get to stay around longer on thrusday.,Yes,Other
I feel bad. I have to go get one today.,No,Other
I feel frustrated because at times I honestly just flat out struggle with dealing with a lot of this stuff.,Yes,Other
I feel frustrated by how long it is taking to finish household tasks. 2.,Yes,Other
I feel like a bad person. I need to get away for a day.,Yes,Other
"I feel like I did before we started going out, i'm discontent, i'm tired.",Yes,Other
I feel like my life is one bad decision after the next.,Yes,Other
I feel really bad when I take time off from work.,No,Other
I feel so bad having to turn down everything that I am offered because I have to work.,Yes,Other
I feel stressed. I am looking into jobs for after I graduate.,Yes,Other
"I find it really hard to ask for things, and I feel so bad because my parents are so busy.",Yes,Other
I got really scared becasue this happened on the way home.,Yes,Other
I got really worried cause I dont have anymore practices until the meet.,Yes,Other
"I guess i have been very stressed out lately, cheques and etc...",Yes,Other
I guess I've just been so busy lately. Yah... that and stressed.,Yes,Other
I guess that's one of my things... I need to realize I can't be there for everyboday all the time.,Yes,Other
I had a clash of interest with some GCN people in the last day or two... and it sucks.,Yes,Other
I had a nightmare about being back at work.,Yes,Other
"i had things to say, and they were pretty important... but i'm so effing tired, i just forgot.",Yes,Other
I had to call out of work yesteraday to finish my project which I sucked at ne ways.,Yes,Other
"I happen to be starting the preliminary stages of finding a job, which is a pretty stressful event.",Yes,Other
i hate my schedule it's one midterm after another.,Yes,Other
I hate waiting...it seems like i've been doing a lot of that.,Yes,Other
I have a presentation this week that I'm afraid to look over for fear of realizing how under-prepared I am.,Yes,Other
I have been feeling really bad about the way that things have been going on lately.,Yes,Other
"I have been frustrated, trying to sort things out.",Yes,Other
I have been having some $$$ issues as of late and it has just been really stressful.,Yes,Other
I have been looking for another job b/c I'm in so much debt.,Yes,Other
I have been majorly stressed about shit lately.,Yes,Other
"I have been putting it off, which isn't good cuz i need to do well in that class",Yes,Other
I have been really stressed trying to get all my shit together for finals etc.,Yes,Other
i have been so frustrated lately and i don't kno why.,Yes,Other
I have been so stressed out from work..so does that mean I have problems?,Yes,Other
I have been very confused as of late with the direction my life is heading.,Yes,Other
"I have felt out of balance for weeks, and really needing some kind of something to clear the fuzzy energy.",Yes,Other
I have had a tough time updating here lately.,Yes,Other
i have no idea why i'm always so emo.. i guess it just seems to be bothering me alot lately.,Yes,Other
I have procrastinated too long and I'm going to be struggling to do stuff in the fall.,Yes,Other
I have recently been at a loss for words which is weird because i have a lot on my mind.,Yes,Other
I have shit I need to get done and I've been REALLY bad at that lately.,Yes,Other
I have stress and worry about my future and I have made mistakes.,Yes,Other
I have to be a student again and I don't like it.,Yes,Other
"I have to go to work now and really, that's kind of sad.",Yes,Other
I have to go to work...me am not too happy about that.,Yes,Other
"I have to work today, and I am horribly unenthused about this.",Yes,Other
i havent written in a while becuz ive been busy but im really sad about something rite now so yea.,Yes,Other
I just don't know what's up with me lately... I'm so torn from day to day.,Yes,Other
"I just feel generally melacholy about my life, and i don't know exactly how to face up to the day.",Yes,Other
I just have been feeling this frustration about how to prioritize.,Yes,Other
i just kinda miss a lot of things lately and i find my self pondering the what if's haha.,Yes,Other
I keep getting sad when I think about Cordelia leaving.,Yes,Other
I loose track of all but this: the very definition of my very dysfunctional family relationships are changing.,Yes,Other
"I mean, it sucked while I was stressed, thinking I'd never get it done on time.",Yes,Other
"I must be more tired than I thought, though - I'm constantly fucking things up today.",Yes,Other
"I need a lot of looking after, and I get quite anxious when my mum isn't around.",Yes,Other
"i need like, a rehab for it or something because i cant carry on my days like this.",Yes,Other
I need to find a job like now.. bc im starting to get depressed from not having one.,Yes,Other
I really feel like I am failing here because I can't take the time off to cover the whole time.,Yes,Other
i refused to care for so long.but yah now its starting to bother me.,Yes,Other
I seem discontent with my life as a whole lately.,Yes,Other
I should sort myself out but I just haven't been in the mood to work this year.,Yes,Other
I spend so much of my time feeling as though I'm not doing enough with my life.,Yes,Other
I suppose my biggest problem in my life at the moment is my sheer lack of proper Time Management.,Yes,Other
i think i have once again run out of things to say for the day.,No,Other
i think i might reconnect it.... im sick of not having a job....,Yes,Other
I think I'm getting worn out with the schedule i have.,Yes,Other
i think i'm going to have an issue w/ scheduling... i have hardly any time to schedule lessons.,Yes,Other
I think im just frustrated with a lot of the stuff that has been going on in my life.,Yes,Other
I think that's one of the reasons I have such a hard time with my schedule right now.,Yes,Other
I think the deadline is what's stressing me out the most.,Yes,Other
I think this because things weren't easy when I left work.,Yes,Other
"I understand that, but what has changed it so now I'm cursed with not being able to make true friends.",Yes,Other
i was almost late for work and then work just sucks in general.,Yes,Other
I was already stressed from just... my life.,Yes,Other
I was complaining about school and I was tired.,Yes,Other
I was dissatisfied with what I'd just spent ages planning.,Yes,Other
I was feeling bad and distracted when I was already leave the place.,Yes,Other
i was frustrated about passing out a lot.,Yes,Other
"I was getting frustrated today with it so, I stopped for a little bit.",Yes,Other
I was getting too uptight about work.,Yes,Other
"i was having another ""one of those days"" and was quite frustrated with the way i was feeling.",Yes,Other
I was so upset about work.,Yes,Other
"i was supposed to work, and i wasn't feeling good.",Yes,Other
I was very stressed about Nanny though.,Yes,Other
"I was worried and stressed, another expense we can't afford, needing to find a ride to work, etc.",Yes,Other
"I was worried for a while, since I was really starting to feel like I was running out of material.",Yes,Other
"I was worried, like a stupid human, about my needs in life.",Yes,Other
i wasnt before but now im just getting sick of all this work.,Yes,Other
I went back after work and it had gotten scary.,Yes,Other
"I won't always be able to post this many times in one day, but I'm bored and now I'm pissed.",Yes,Other
"If I don't call, or spend time with them, I feel guilty.",Yes,Other
if we dont have the stuff ready by then i'll be very frustrated.,Yes,Other
im a bit freaked out about paying for school now.. sick to my stomach type stuff..,Yes,Other
"I'm a fuckin complication to the staff, and it is difficult for me to cope with that.",Yes,Other
I'm a lil scared about finding all of my classes.,Yes,Other
I'm a little stressed about work as well.,Yes,Other
I'm also upset over not getting a day off.,Yes,Other
"i'm becoming nervous simply thinking about the ordeal. that ""day"" which has",Yes,Other
i'm becoming very depressed about not getting a job.,Yes,Other
I'm concerned about the coming week's running plan as I haven't sorted out my schedule in detail.,Yes,Other
"I'm contemplating whether to wuit my job or not, becuz i have so much crap going on.",Yes,Other
I'm debilitated by my midterms and Dennis and I haven't been on the same page lately.,Yes,Other
I'm depressed because there is someone going in tomorrow's group that I absolutely can't stand.,Yes,Other
I'm feeling conflicted about doing Melissa's pictures this week.,Yes,Other
I'm feeling like my life is one big waste lately.,Yes,Other
I'm feeling so lost in life is my biggest problem.,Yes,Other
i'm frustrated about school and about getting where i want to be.,Yes,Other
I'm getting a bit sick of working at the moment.,Yes,Other
"I'm getting a little stressed over it, 'cause its one of the next ones on my schdedule...",Yes,Other
I'm getting behind on my work which isn't cool.,Yes,Other
im getting kinnda sick of updating.,No,Other
I'm getting really frustrated that I'm not able to talk to Uni friends enough.,Yes,Other
I'm getting really nervous and concerned now about acceptances.,Yes,Other
I'm getting really nervous for when my dad leaves.,Yes,Other
I'm getting sick of babysitting.,Yes,Other
"I'm getting sick of this, because it doesn't seem to be getting better and I have stuff to do.",Yes,Other
I'm getting stressed out at work...,Yes,Other
"I'm getting tired and stuff, so Ill finish here.",Yes,Other
I'm getting tired of interviewing and not getting a final answer.,Yes,Other
I'm getting upset that i keep missing Will and Grace!,Yes,Other
I'm getting very paranoid after today incident.,Yes,Other
I'm gonna be exhausted and I'm workin with someone that I don't like working with.,Yes,Other
i'm having a hard time today working up the interest to do much of anything lately...someone save me from myself...,Yes,Other
"I'm inevitably put into the position of not having money at school, and needing it.",Yes,Other
"I'm just a bit stressed about work, anxious about upcoming vacation, and missing Steve.",Yes,Other
"i'm just having growing pains and with those, comes the desperate hope of this being my last day here.",Yes,Other
I'm just kinda fed up with work at the moment so I don't know how much I'll be doing today.,Yes,Other
im just really worried about things lately...idk...,Yes,Other
I'm just so stressed out and there's always something that I have to get done- that I'm just worn out.,Yes,Other
im just worried.. we have been having problems anyway..so whos to say he will wait for me..?,Yes,Other
I'm kind of stressed about work.,Yes,Other
I'm kinda sad about working full time,Yes,Other
i'm kinda screwin myself over right now by not studying... but its so hard to get motivated right now.,Yes,Other
I'm kinda worried about my job.,Yes,Other
im more sad that i dont have a new job to start.,Yes,Other
"I'm pretty distracted, and kind of anxious about all the shit I have to get done (get done?) today.",Yes,Other
I'm pretty sick of training at this point.,Yes,Other
I'm really bad at prioritizing and I need a job ASAP.,Yes,Other
I'm really really in a conundrum about my job.,Yes,Other
I'm really stressed about the end of semester projects.,Yes,Other
i'm really worried about the whole moving out thing.,Yes,Other
"I'm sad because Ashley has to graduate, and cant go.",No,Other
i'm sad that i have to go to work though.,Yes,Other
I'm sick and tired of always having to defend it.,Yes,Other
I'm sick of acting like my life is hard.,Yes,Other
I'm sick of trying to keep together and everything just going to shit in my hands.,Yes,Other
I'm sick of working and planning and long-term goals.,Yes,Other
I'm so bored and I need to find a job.,No,Other
I'm so confused about what to do lately I hate being so stressed out and run down.,Yes,Other
I'm so fed up with aol not working right.,Yes,Other
I'm so fed up with stuff in my life.,Yes,Other
I'm so frustrated with my job right now.,Yes,Other
I'm SO mad about not being able to get that job.,Yes,Other
im so stressed out w/ my parents and their opinions about things,Yes,Other
"i'm so stressed, getting ready for college is awful.",Yes,Other
I'm so tired of having to explain myself.,Yes,Other
I'm so tired of not knowing what I want to do.,Yes,Other
I'm so very upset lately about my job situation!,Yes,Other
I'm starting to get really discouraged about finding a real job and also more and more angry about shutters.,Yes,Other
im starting to get really fed up with shit not getting done as far as our living arrangements are concerned.,Yes,Other
im starting to get really frustrated with this school again.,Yes,Other
I'm starting to not even like my job.,Yes,Other
I'm still sick! I fear work may not happen tomorrow.,Yes,Other
I'm stressed right now trying to get the last bit of school stuff taken care of.,Yes,Other
I'm tired of being unsure about things going on in my life.,Yes,Other
I'm tired of stressing about school.,Yes,Other
I'm tired of them not knowing whatever that has been happening to me.,Yes,Other
i'm tired of thinking. what the fuck am i accomplishing in my life at this moment.,Yes,Other
I'm tired of worrying about school.,Yes,Other
I'm tired of: not getting paid by res life9.,Yes,Other
i'm trying to decide what i wanna do in life..and after niamh's entry..i'm even more frustrated.,Yes,Other
I'm trying to finish a load now and it's just not working out.,Yes,Other
I'm upset with the thought of moving on.,Yes,Other
I'm very bored... and I'm already getting anxious about my new job.,Yes,Other
I'm very nervous about the project and I need to just get it over with.,Yes,Other
I'm very stressed in general about life.,Yes,Other
"I'm way behind, the last 2 days have been kind of crazy, I'm trying to get stuff back in order.",Yes,Other
I'm whiney right now and I'm sure its not going to get better when I get to work.,Yes,Other
In other news I am highly frustrated with my tour guide job.,Yes,Other
Invariably of late it seems that being myself has caused problems and hurt feelings.,Yes,Other
It exhausts me when that's all I seem to deal with lately.,Yes,Other
"It has been so hard to live upto my own expectations, so now i will take a fall.",Yes,Other
It is a tumultuous time for my family right now,Yes,Other
"It is becoming very difficult to maintain contact, though; as they sign off before I can message them....",Yes,Other
it is extremely frustrating being stuck at my current place of employment until i find something else.,Yes,Other
It is sad to think a new week is coming up and there are new things to worry about!,Yes,Other
it kinda upsets me. just going over everything that sucked during my day.,Yes,Other
"It made me worry about her, and I also had a tendency to second-guess myself...without an editor, things were difficult.",Yes,Other
It seems like everything I've worked for lately is just falling apart.,Yes,Other
It seems like my whole life is falling apart ... again ... and I need to get shit straightened out.,Yes,Other
"It seems that I've lost the will to do anything lately, and that scares me.",Yes,Other
"It starts where I have to work, and I didn't like that idea.",Yes,Other
It was stressful UP TO THE LAST MINUTE (with getting it printed and whatnot). .,Yes,Other
It was tough and I'm scared to get my grade back.,Yes,Other
It's going to really bother me until I get another job.,Yes,Other
"It's ""I messed things up, and am having a difficult year starting to put things together.""",Yes,Other
It's a good kind of busy except I've been bringing work home and I think it's hurting my relationship. Craps!,Yes,Other
It's been hell just trying to get a ride to work... ...and I'm not feeling 100% to boot.,Yes,Other
"It's been oh-so hectic lately.. so much to do, so much to plan.. plus work, and I'm sick..",Yes,Other
it's getting reallyt hard to keep this chin up day after day after fucked up day.,Yes,Other
"It's hard though, I'm going through withdrawl already.",Yes,Other
Its just every day it seems i curse myself for wanting to be something that is so difficult.,Yes,Other
It's just gotten to the point where I can't live there anymore because of the stress it's causing me.,Yes,Other
it's just i feel school is being too hard on me.,Yes,Other
It's just that I stressed out if I couldn't fix them.,Yes,Other
its like lately it's been hitting me pritty hard that they are gone and it sucks!,Yes,Other
it's like life doesn't stay good for long with me.,Yes,Other
"It's nearing the end, so I'm becoming really anxious.",Yes,Other
its not looking too easy right now with all the crap that i need to do to actualy graduate.,Yes,Other
it's really hard for me to write now since i'm so tired... i had a meet today.,Yes,Other
"Its really hard to balance out my time, and my friends.",Yes,Other
It's the routine after I get home that I have issues with.,Yes,Other
It's tough living with my parents again.,Yes,Other
"I've become so apathetic with my work lately, it's kind of scary.",Yes,Other
I've been bad about updating.,No,Other
I've been being extremely bad in that department lately...and I've stalled..imagine that! ;),Yes,Other
"I've been bummed out lately at work, mostly by my own inability to get motivated and self-manage.",Yes,Other
I've been cutting back on rping and stuff because rl is getting stressful.,Yes,Other
I've been doubting myself and my decision to come here like mad this week.,Yes,Other
I've been feeling really self consious about myself lately.,Yes,Other
I've been feeling so overwhelmed and insecure lately that I wonder whether it isn't better to just start over.,Yes,Other
ive been getting too stressed lately and i feel like im just gonna lose it.,Yes,Other
i've been having a serious upon serious case of artist's block lately and i most definately do NOT like it.,Yes,Other
I've been having trouble concentrating on work lately.,Yes,Other
I've been missing too much work.,Yes,Other
I've been neglecting my schoolwork too much.,Yes,Other
i've been pretty busy lately and it sucks bacause i can never remember what i've been doing.,Yes,Other
I've been pretty frustrated with myself lately... in a lot of ways.,Yes,Other
I've been really stressed and cranky and mood-swingy lately just trying to get things figured out.,Yes,Other
"I've been really stressed out lately, if you haven't noticed. =/",Yes,Other
I've been shaking from making an awful decision.,Yes,Other
ive been so bored lately and i need people to entertain me.,Yes,Other
i've been so busy trying to get my life together that i forgot to take care of myself emotionally.,Yes,Other
I've been sort of frustrated at work lately.,Yes,Other
I've been stressed out lately though because I live in the house of transition and co-worker stress.,Yes,Other
I've been stressed to the near breaking point over this move.,Yes,Other
I've been stressing over so much lately that I finally lost it.,Yes,Other
I've been terrible about keeping this updated since coming back to PA.,Yes,Other
I've been trying to keep my head up saying that the past few days just weren't good.,Yes,Other
I've been upset over that...my life is LITERALLY ....,Yes,Other
I've been very bad lately about leaving work early.,Yes,Other
"I've been very busy lately? I dunno, I just didn't feel like typing...",Yes,Other
ive been very confused about everything lately in my life and what ive wanted and what i need.,Yes,Other
I've been worried sick about having to deal with one or both of those situations on top of everything else.,Yes,Other
I've felt like I'm just going through the motions of life and it's just not good enough.,Yes,Other
"I've had some sort of expressive block lately, and I don't like it!",Yes,Other
"I've just been doing a lot of thinking lately, and that's never good.",Yes,Other
i've lost a lot of important things that i can't redo and it sucks royally.,Yes,Other
"I've spent the last couple of days second guessing myself, and beating myself up about making that decision.",Yes,Other
Just gonna be some long days of classes i'm not used to.,Yes,Other
Just kind of blah. I have to work tonight and for some reason kind of stressed about it.,Yes,Other
Kinda brings my mood down... which isn't good... cause I'm already stressed out over school and trip.,Yes,Other
kinda got in trouble with work...,Yes,Other
la dee da dee daaaa i have a lot to do right now that i don't feel like doing.,No,Other
"Late, mind you, because someone messed up my schedule.",No,Other
"Lately I feel like I'm running out of time, and it's really starting to bother me.",Yes,Other
Lately I have just been worried about choosing a job.,Yes,Other
"Lately it all seems to be going wrong, oddly enough since I last moved.",Yes,Other
Lately I've been feeling like I'm losing touch with myself and the people I love.,Yes,Other
Lately I've been frustrated by the day job.,Yes,Other
Lately My parents have been really nagging me.,Yes,Other
Lately theres been so much going on I feel like I've lost who I am.,Yes,Other
Lately work has been really upsetting me.,Yes,Other
"Lately, again hopefully caused by my period, I have been feeling unloved.",Yes,Other
"Lately, some things have been bothering me and when i think about them they get me so down.",Yes,Other
Latley i have been pretty scared about life and where i will end up and stuff.,Yes,Other
"Lay offs are being talked about again, and , of course, I'm antsy about it.",Yes,Other
let the games begin... already i'm stressed about everything i have to do.,Yes,Other
Let's just say that the director and I are struggling to work together.,Yes,Other
Life has been a series of expectations and disappointments for me recently.,Yes,Other
"Like really, the time that we actually TRY to get together, stuff seriously goes wrong.",Yes,Other
Living Reseda makes me increasingly uncomfortable every time something like this happens.,Yes,Other
"LOL Anyhow, it's annoying me and I am tired and Jeff could be wandering in at any moment from work.",Yes,Other
longwood is making it especially hard for me to graduate on time.,Yes,Other
Major shit is going down between my parents and me currently.,Yes,Other
Makes me weary for the day they inevitably run out of ways to raise the level.,Yes,Other
man i must have been really tired becuase i dont see how my spelling could be understood.,Yes,Other
maybe that's why i'm having so much trouble quitting...,Yes,Other
midly dissatisfied with where i am at in my life.,Yes,Other
mom is still mad for some reason.. haven't talk to my friends in awhile.. i have to work.,Yes,Other
money has become such an issue of worry for me (and my parents as well).,Yes,Other
My allergies have been going haywire....I've been working alot lately....,Yes,Other
My biggest source of ire is just struggling to remember things.,Yes,Other
my classes are going to suck since im registering so late.,Yes,Other
"My classes are messed up entirely, and I'm not sure what is going to happen with my classes or me.",Yes,Other
My control has been shite over the past couple days. I need to do *something* today to get myself back.,Yes,Other
"my emotions are so up and down lately, i dunno what im gonna do.",Yes,Other
My Ex has been bugging me lately and I was upset...,Yes,Other
My family had started arriving and things were getting hectic and out of control.,Yes,Other
My family stresses me out lately and I am a bit of a bitch.,Yes,Other
My first night here i get so fucked upi that its really hard to type right now.,No,Other
My focus and concentration at work has just sucked lately.,Yes,Other
My friend situation has been killing me lately.,Yes,Other
My friends worry about me; I don't look like myself.,Yes,Other
my head hurts & i think i need a day off from school.,Yes,Other
my head hurts. now i have to go to work.,Yes,Other
My job has really screwed with me.,Yes,Other
"My job really blows, so I'm looking for a new one....not really working out for me right now.",Yes,Other
My life is getting to be so redundant.,Yes,Other
My life is kind of jumbled and confused and there are some lose ends I need to work out....,Yes,Other
My life is orbiting around things I have no control over and I'm about to crash hard into something.,Yes,Other
My main report is that I just feel so confused lately.,Yes,Other
My money is now a issue and possible being screwed over like my parents are.,Yes,Other
My new job is killing me.,Yes,Other
My parents are being all wierd lately.,Yes,Other
My personal goals have changed so much that I've kinda lost track of everything.,Yes,Other
My schedule is all hard classes and I'm not sure how it's going to play out.,Yes,Other
My schedule next semester sucks.,Yes,Other
My school work is starting to get bad again.,Yes,Other
my social life seems to eb failing me lately.,Yes,Other
My stepdad seems to have a problem with EVERYTHING I do these days.,Yes,Other
My work for Monday sucks.,Yes,Other
"My work has been treating me awful lately, and it seems like when I'm there- I'm simply wasting my time.",Yes,Other
my work has just really been putting me in a not so happy place.,Yes,Other
"Needless to say, things are about to get hectic for me.",Yes,Other
No wonder like I feel like I'm struggling with my identity lately...,Yes,Other
Not sure how to fix that... Definitely feeling like there's something missing from my life.,Yes,Other
"Not to start off sounding bitter, but work really sucks lately and I'm currently trying to find another job.",Yes,Other
"Now that I've already gotten into trouble, I've sort of lost my motivation for the day.",No,Other
"Of course, after I got home, something set me off and I got really depressed.",Yes,Other
"Of course, I bitched about my situation and how difficult it really was getting to further my education.",Yes,Other
oh well...maybe next time (I hope)...things have been real shitty lately...I cant get things of my mind...,Yes,Other
Ok everytime I try to write something on this thing I get really tired... anybody know why?,Yes,Other
Ok I don't know why I even started updating cuz I'm to tired to type.,Yes,Other
ok well lately ive been struggling to keep up with my life and responsibilities...... well finally i cracked.,Yes,Other
"Ok, for those of you that don't know, I've been having trouble with a part of my job...",Yes,Other
"Okay, I've been thinking a lot today which is probably bad.",Yes,Other
"Okay, I've been wrestling with myself about whether or not to start posting this, as it's another work in progress.",Yes,Other
"on the subject of not affording things, it has been PAINFULLY sloooooow at work.",Yes,Other
"On top of that, I'm really depressed feeling/stressed over work and finding a new job.",Yes,Other
once again i'm gonna go on ranting that i have not enough time and theres just so much to do.,Yes,Other
once i think abt the time we had in rg my heart aches.,Yes,Other
One of the things I was most worried about was losing friends,Yes,Other
OSAP complications are stressing me out.,Yes,Other
"Oy, I looked at courses for this year and such and am now all stressy.",Yes,Other
People have been giving me a hard time lately about my lifestyle... I understand they are just concerned..and thats ok.,Yes,Other
I'm all stressed about traveling up there and getting back in time for classes.,Yes,Other
"I have been scheduling my GRE, which I am kind of (alot actually) nervous about.",Yes,Other
"Pretty much I guess, I was finding it hard getting past all the ra-ra you'd put me through.",Yes,Other
"Problem is, I'm now off my game and, worse, having trouble expressing myself to clients.",Yes,Other
randy said that i'm miserable and i need to get a job.,Yes,Other
"Right now, I'm just so stressed about preparations and nervous about how things will be when I get there.",Yes,Other
scheduling is stressing me out more than normal this semester.,Yes,Other
"School has become a chore- a constant assignment and headache, that I suffer through and try to forget.",Yes,Other
school is almost over and i don't know how to handle everything i need to.,Yes,Other
school is angering me lately.,Yes,Other
school started and now i don't like it.,Yes,Other
schools almost over and it scares me.,Yes,Other
"Schools almost over, and I'm conflicted about how I feel about that.",Yes,Other
school's stressing me out.,Yes,Other
"Sigh... but I've been making things hard for myself, recently.",Yes,Other
"Since the last time I made a post, life has been extremely challenging.",Yes,Other
"since then, i have dreaded going to work.",Yes,Other
So far my compy has been giving me problems.,Yes,Other
"So I became bitter, wondering WHY my life couldn't just mend itself whenever necssary.",Yes,Other
"So I have to go to work, and I'm really nervous",Yes,Other
"So I have to write it today, and I'm really not in the mood.",Yes,Other
so i'm a bit worried about next semester's schedule.,Yes,Other
So I'm frustrated and it takes me back to the drawing board of not really being sure what to do.,Yes,Other
So its seriously time to register for GRE and everything and I realized...I can't afford it.,Yes,Other
"so many things have been bothering me lately, and i feel like i am about ready to have a breakdown.",Yes,Other
So much has been going wrong for me lately its time I make things right.,Yes,Other
so upset i didn't get to..yeah...today cuz many plans fell thru.,Yes,Other
"So, I've been kind of upset with myself with the way I've been running my life.",Yes,Other
some thoughts from today (wed): 1) how difficult it is for me to work around other people's schedules.,Yes,Other
"Something's gotta give here, it's like I'm scared stiff of work, or something.",Yes,Other
something's just not right....i've got a bad feeling about the next few days.,Yes,Other
"Sometimes I still get frustrated, because I feel like I am getting ditched a lot.",Yes,Other
"Sorry I get all depressed on yall so much lately, there has been alot happening.",Yes,Other
"Sorry my entries have been long and depressing lately, but what can you expect?",Yes,Other
"Still, I've been frustrated lately by people that try to force it.",Yes,Other
Take into consideration my exhausting semester... but I'm still worried.,Yes,Other
That situation with work has gotten more complicated. I now have to go back in for a 're-interview'.,Yes,Other
That's an issue I'm having an extremely difficult time grasping...having a job that doesn't make me happy.,Yes,Other
thats such a weight off marys shoulders cause shes been stressed about how to tell him and when.,Yes,Other
That's why I felt so sad because I'm not keeping up with my daily readings.,Yes,Other
The adjustment with school and work have been making me insane.,Yes,Other
The days following my rejection from Re-Creation things have been weird bewteen Baney and myself.,Yes,Other
"The end of the semester projects are starting to pile up, and I can sense myself becoming stressed.",Yes,Other
The face I heard before Your head trip's boring me I'm feeling different.,No,Other
the following are the things that i'm currently stressed about: a) screwing up this week's vacation.,Yes,Other
"The next part, the travel-and-exposit part, was really giving me trouble.",Yes,Other
"The problem is, I've missed some of the classes so much (Soc. and World Hist.)",Yes,Other
"the roommates are getting fed up with it, and i got what felt like an ultimatum today.",Yes,Other
the thing is i'm insanely nervous about the course work.,Yes,Other
The times my classes take palce as well is really messed up.,Yes,Other
what is my problem? I'm getting sick of my routines lately.,Yes,Other
when i got home i got all stressed out again.,Yes,Other
"when it comes round to my shift, I remember ""oh wait... I don't like working.""",No,Other
"right after work, I got all upset again.",Yes,Other
"There seems to be a lot of that going around lately, and I am getting so sick of it.",Yes,Other
There will be questions I have no answers to and it seems to be the story of my life lately.,Yes,Other
theres alot going on lately and im kind of stressed.,Yes,Other
"There's always some reason to feel not good enough, and it's hard, at the end of the day.",Yes,Other
They just get frustrated when they have to deal with so much and they dont think they're getting much back.,Yes,Other
They're startin' to get annoyed with me... and now I gotta tell 'em I can't make next week... shit.,Yes,Other
Things are weird in my life and I just feel that im being left behind.,Yes,Other
things had started to get really stressful and i cant afford to live there anymore anyway.,Yes,Other
"Things have been getting so hectic lately, i have to give up a role.",Yes,Other
things have changed alot and i think we have been growing apart and i dont really like it,Yes,Other
Things with my family have been insane lately.,Yes,Other
"Thinking some, and realized that Im gonna have a hard time working with my whole situation going on.",Yes,Other
this course selection made me stressed.,Yes,Other
this is gonna be so hard today...everytime i start to even think about it my stomach turns.,Yes,Other
This is when I become very weary and desperate about my future.,Yes,Other
This stupid internship is making things very hard for me.,Yes,Other
This time is really hard on her with my dad being gone now.,Yes,Other
Today at work was taxing on my nerves.,Yes,Other
Today has been very taxing for me.,Yes,Other
"Today I finally have to go back and work, and I am not happy about that idea.",Yes,Other
"Today, however, I started thinking about it and I don't like it.",Yes,Other
"Today, I'm sick an tired of looking for ways to get money.",Yes,Other
Today's weird. I think I've just been in kind of a rut lately.,Yes,Other
Trying to get my schedule right for next year has been hell.,Yes,Other
U know it's not a good thing when i'm bored because then i start questioning everything in life.,Yes,Other
"Ummm... once again, livejournaling has become a chore, and I feel that I haven't quite captured the essence of today.",Yes,Other
"Until I get to the new place, I always feel such a sense of loss.",Yes,Other
Very nervous about going back to work.,Yes,Other
"we aren't really on speaking terms as of late, and its posing to be quite a problem for me.",Yes,Other
We get to depend on them so much that when they cease to work we dont know what to do!,Yes,Other
"We had follies rehearsal today, and needless to say, im a bit frustrated.",Yes,Other
We must get together asap or I shall explode. I'm having a really hard time with my eyes lately.,No,Other
"we worked on stalled today as well. and yet, i still feel confused and diluted.",Yes,Other
Well damn... after that last entry I'm begining to worry myself!,Yes,Other
Well I have been having some really hard times at work as of late.,Yes,Other
well im sorry that i havent had time to pdate .. life is busy.,No,Other
Well its been awhile so ill update ya on things that have been going on -work sucks right now.,Yes,Other
well uhm....prolly be broken up with cause its so hard for me to do it.,Yes,Other
"Well, fer starters getting my shit straitened out for school is being a being a pain.",Yes,Other
"well, I need to figure out whats going on cause I'm pretty stressed out lately.",Yes,Other
"well, unfortunately, some hard times came upon my family...",Yes,Other
"what makes me me, and what i should be doing with myself. because i don't feel very productive lately",Yes,Other
"whatever, ive been so stressed about projects.",Yes,Other
"When commitment is already made, and prioritiys crash, leaving us bothin in a state of confusion.",Yes,Other
"When I'm all depressed about shit in my life, THIS has to happen.",Yes,Other
"When, for whatever reason, those plans have to be changed (especially at the last minute), I find myself quite irritated.",No,Other
"Which I've apparently very nearly missed due to my screwed up mids schedule, is this week.",Yes,Other
"While I on my way to my new flat,I started to feel even worse.",Yes,Other
"With the stress you gove me, along with school and a baby, I don't think I can do it.",Yes,Other
Work and things just have me stressed out I guess!,Yes,Other
Work has actually been pissing me off lately.,Yes,Other
Work has been so exhausting for me lately.,Yes,Other
work has just been crazy lately.,Yes,Other
work is going to wear me out.,Yes,Other
Work sucks and the new people are getting on my nerves... especally when they don't show up.,Yes,Other
Work was going quite badly for me.,Yes,Other
"work was hectic for some reason, barb was out again.",Yes,Other
Working on my resume has gotten me so frustrated.,Yes,Other
"Wow, it seems almost every day I find yet another reason to absolutely loathe my current residence.",Yes,Other
Yeah. + I've been really paranoid about how I talk lately.,Yes,Other
Yes I do have immense fears of not succeeding in my courses.,Yes,Other
Yet another day I felt like having a breakdown at various points in the day...and I hate it.,Yes,Other
"Life is really busy lately and you know, there just isn't enough time in the world to do everything i want!",Yes,Everyday Decision Making
I dread dinner becuase i am forced to eat it and it bothers me a lot.,Yes,Everyday Decision Making
